place of birth,age group,gender,year,province of residence,concept,value
county of residence,80-84,female,2011,Pontevedra,population,12192
county of residence,85-89,total,2001,total,population,29070
county of residence,85-89,total,2001,A Coruña,population,9692
county of residence,85-89,total,2001,Lugo,population,5766
county of residence,85-89,total,2001,Ourense,population,5772
county of residence,85-89,total,2001,Pontevedra,population,7840
county of residence,85-89,total,2011,total,population,38285
county of residence,85-89,total,2011,A Coruña,population,13241
county of residence,85-89,total,2011,Lugo,population,7564
county of residence,85-89,total,2011,Ourense,population,6754
county of residence,85-89,total,2011,Pontevedra,population,10727
county of residence,85-89,male,2001,total,population,8920
county of residence,85-89,male,2001,A Coruña,population,2801
county of residence,85-89,male,2001,Lugo,population,2132
county of residence,85-89,male,2001,Ourense,population,1871
county of residence,85-89,male,2001,Pontevedra,population,2116
county of residence,85-89,male,2011,total,population,12942
county of residence,85-89,male,2011,A Coruña,population,4279
county of residence,85-89,male,2011,Lugo,population,2965
county of residence,85-89,male,2011,Ourense,population,2472
county of residence,85-89,male,2011,Pontevedra,population,3225
county of residence,85-89,female,2001,total,population,20150
county of residence,85-89,female,2001,A Coruña,population,6891
county of residence,85-89,female,2001,Lugo,population,3634
county of residence,85-89,female,2001,Ourense,population,3901
county of residence,85-89,female,2001,Pontevedra,population,5724
county of residence,85-89,female,2011,total,population,25344
county of residence,85-89,female,2011,A Coruña,population,8962
county of residence,85-89,female,2011,Lugo,population,4598
county of residence,85-89,female,2011,Ourense,population,4281
county of residence,85-89,female,2011,Pontevedra,population,7502
county of residence,90-94,total,2001,total,population,10348
county of residence,90-94,total,2001,A Coruña,population,3427
county of residence,90-94,total,2001,Lugo,population,2167
county of residence,90-94,total,2001,Ourense,population,2004
county of residence,90-94,total,2001,Pontevedra,population,2750
county of residence,90-94,total,2011,total,population,15360
county of residence,90-94,total,2011,A Coruña,population,5338
county of residence,90-94,total,2011,Lugo,population,3084
county of residence,90-94,total,2011,Ourense,population,2699
county of residence,90-94,total,2011,Pontevedra,population,4239
county of residence,90-94,male,2001,total,population,3265
county of residence,90-94,male,2001,A Coruña,population,986
county of residence,90-94,male,2001,Lugo,population,887
county of residence,90-94,male,2001,Ourense,population,694
county of residence,90-94,male,2001,Pontevedra,population,698
county of residence,90-94,male,2011,total,population,4381
county of residence,90-94,male,2011,A Coruña,population,1435
county of residence,90-94,male,2011,Lugo,population,1058
county of residence,90-94,male,2011,Ourense,population,839
county of residence,90-94,male,2011,Pontevedra,population,1049
county of residence,90-94,female,2001,total,population,8308
county of residence,90-94,female,2001,A Coruña,population,2873
county of residence,90-94,female,2001,Lugo,population,1521
county of residence,90-94,female,2001,Ourense,population,1541
county of residence,90-94,female,2001,Pontevedra,population,2373
county of residence,90-94,female,2011,total,population,10979
county of residence,90-94,female,2011,A Coruña,population,3903
county of residence,90-94,female,2011,Lugo,population,2026
county of residence,90-94,female,2011,Ourense,population,1860
county of residence,90-94,female,2011,Pontevedra,population,3191
county of residence,95-99,total,2001,total,population,2474
county of residence,95-99,total,2001,A Coruña,population,860
county of residence,95-99,total,2001,Lugo,population,496
county of residence,95-99,total,2001,Ourense,population,492
county of residence,95-99,total,2001,Pontevedra,population,626
county of residence,95-99,total,2011,total,population,4015
county of residence,95-99,total,2011,A Coruña,population,1305
county of residence,95-99,total,2011,Lugo,population,830
county of residence,95-99,total,2011,Ourense,population,793
county of residence,95-99,total,2011,Pontevedra,population,1086
county of residence,95-99,male,2001,total,population,609
county of residence,95-99,male,2001,A Coruña,population,174
county of residence,95-99,male,2001,Lugo,population,174
county of residence,95-99,male,2001,Ourense,population,126
county of residence,95-99,male,2001,Pontevedra,population,135
county of residence,95-99,male,2011,total,population,936
county of residence,95-99,male,2011,A Coruña,population,290
county of residence,95-99,male,2011,Lugo,population,257
county of residence,95-99,male,2011,Ourense,population,172
county of residence,95-99,male,2011,Pontevedra,population,217
county of residence,95-99,female,2001,total,population,1865
county of residence,95-99,female,2001,A Coruña,population,686
county of residence,95-99,female,2001,Lugo,population,322
county of residence,95-99,female,2001,Ourense,population,366
county of residence,95-99,female,2001,Pontevedra,population,491
county of residence,95-99,female,2011,total,population,3079
county of residence,95-99,female,2011,A Coruña,population,1015
county of residence,95-99,female,2011,Lugo,population,573
county of residence,95-99,female,2011,Ourense,population,621
county of residence,95-99,female,2011,Pontevedra,population,870
county of residence,100+,total,2001,total,population,255
county of residence,100+,total,2001,A Coruña,population,71
county of residence,100+,total,2001,Lugo,population,56
county of residence,100+,total,2001,Ourense,population,53
county of residence,100+,total,2001,Pontevedra,population,75
county of residence,100+,total,2011,total,population,648
county of residence,100+,total,2011,A Coruña,population,197
county of residence,100+,total,2011,Lugo,population,149
county of residence,100+,total,2011,Ourense,population,131
county of residence,100+,total,2011,Pontevedra,population,172
county of residence,100+,male,2001,total,population,65
county of residence,100+,male,2001,A Coruña,population,11
county of residence,100+,male,2001,Lugo,population,20
county of residence,100+,male,2001,Ourense,population,15
county of residence,100+,male,2001,Pontevedra,population,19
county of residence,100+,male,2011,total,population,139
county of residence,100+,male,2011,A Coruña,population,35
county of residence,100+,male,2011,Lugo,population,48
county of residence,100+,male,2011,Ourense,population,25
county of residence,100+,male,2011,Pontevedra,population,31
county of residence,100+,female,2001,total,population,190
county of residence,100+,female,2001,A Coruña,population,60
county of residence,100+,female,2001,Lugo,population,36
county of residence,100+,female,2001,Ourense,population,38
county of residence,100+,female,2001,Pontevedra,population,56
county of residence,100+,female,2011,total,population,510
county of residence,100+,female,2011,A Coruña,population,162
county of residence,100+,female,2011,Lugo,population,101
county of residence,100+,female,2011,Ourense,population,105
county of residence,100+,female,2011,Pontevedra,population,142
another county in the same province,total,total,2001,total,population,591569
another county in the same province,total,total,2001,A Coruña,population,289921
another county in the same province,total,total,2001,Lugo,population,74279
another county in the same province,total,total,2001,Ourense,population,78981
another county in the same province,total,total,2001,Pontevedra,population,148388
another county in the same province,total,total,2011,total,population,655747
another county in the same province,total,total,2011,A Coruña,population,321573
another county in the same province,total,total,2011,Lugo,population,74995
another county in the same province,total,total,2011,Ourense,population,82655
another county in the same province,total,total,2011,Pontevedra,population,176524
another county in the same province,total,male,2001,total,population,278166
another county in the same province,total,male,2001,A Coruña,population,135651
another county in the same province,total,male,2001,Lugo,population,32807
another county in the same province,total,male,2001,Ourense,population,36948
another county in the same province,total,male,2001,Pontevedra,population,72760
another county in the same province,total,male,2011,total,population,311911
another county in the same province,total,male,2011,A Coruña,population,152407
another county in the same province,total,male,2011,Lugo,population,33202
another county in the same province,total,male,2011,Ourense,population,38907
another county in the same province,total,male,2011,Pontevedra,population,87394
another county in the same province,total,female,2001,total,population,313403
another county in the same province,total,female,2001,A Coruña,population,154270
another county in the same province,total,female,2001,Lugo,population,41472
another county in the same province,total,female,2001,Ourense,population,42033
another county in the same province,total,female,2001,Pontevedra,population,75628
another county in the same province,total,female,2011,total,population,343836
another county in the same province,total,female,2011,A Coruña,population,169166
another county in the same province,total,female,2011,Lugo,population,41792
another county in the same province,total,female,2011,Ourense,population,43748
another county in the same province,total,female,2011,Pontevedra,population,89130
another county in the same province,0-4,total,2001,total,population,12273
another county in the same province,0-4,total,2001,A Coruña,population,7020
another county in the same province,0-4,total,2001,Lugo,population,723
another county in the same province,0-4,total,2001,Ourense,population,1118
another county in the same province,0-4,total,2001,Pontevedra,population,3412
another county in the same province,0-4,total,2011,total,population,14606
another county in the same province,0-4,total,2011,A Coruña,population,7980
another county in the same province,0-4,total,2011,Lugo,population,730
another county in the same province,0-4,total,2011,Ourense,population,1443
another county in the same province,0-4,total,2011,Pontevedra,population,4454
another county in the same province,0-4,male,2001,total,population,6307
another county in the same province,0-4,male,2001,A Coruña,population,3601
another county in the same province,0-4,male,2001,Lugo,population,344
another county in the same province,0-4,male,2001,Ourense,population,581
another county in the same province,0-4,male,2001,Pontevedra,population,1781
another county in the same province,0-4,male,2011,total,population,7580
another county in the same province,0-4,male,2011,A Coruña,population,4161
another county in the same province,0-4,male,2011,Lugo,population,343
another county in the same province,0-4,male,2011,Ourense,population,737
another county in the same province,0-4,male,2011,Pontevedra,population,2338
another county in the same province,0-4,female,2001,total,population,5966
another county in the same province,0-4,female,2001,A Coruña,population,3419
another county in the same province,0-4,female,2001,Lugo,population,379
another county in the same province,0-4,female,2001,Ourense,population,537
another county in the same province,0-4,female,2001,Pontevedra,population,1631
another county in the same province,0-4,female,2011,total,population,7026
another county in the same province,0-4,female,2011,A Coruña,population,3818
another county in the same province,0-4,female,2011,Lugo,population,386
another county in the same province,0-4,female,2011,Ourense,population,705
another county in the same province,0-4,female,2011,Pontevedra,population,2116
another county in the same province,5-9,total,2001,total,population,14719
another county in the same province,5-9,total,2001,A Coruña,population,7916
another county in the same province,5-9,total,2001,Lugo,population,985
another county in the same province,5-9,total,2001,Ourense,population,1512
another county in the same province,5-9,total,2001,Pontevedra,population,4306
another county in the same province,5-9,total,2011,total,population,16121
another county in the same province,5-9,total,2011,A Coruña,population,8794
another county in the same province,5-9,total,2011,Lugo,population,830
another county in the same province,5-9,total,2011,Ourense,population,1536
another county in the same province,5-9,total,2011,Pontevedra,population,4961
another county in the same province,5-9,male,2001,total,population,7520
another county in the same province,5-9,male,2001,A Coruña,population,4012
another county in the same province,5-9,male,2001,Lugo,population,493
another county in the same province,5-9,male,2001,Ourense,population,813
another county in the same province,5-9,male,2001,Pontevedra,population,2202
another county in the same province,5-9,male,2011,total,population,8432
another county in the same province,5-9,male,2011,A Coruña,population,4590
another county in the same province,5-9,male,2011,Lugo,population,449
another county in the same province,5-9,male,2011,Ourense,population,813
another county in the same province,5-9,male,2011,Pontevedra,population,2580
another county in the same province,5-9,female,2001,total,population,7199
another county in the same province,5-9,female,2001,A Coruña,population,3904
another county in the same province,5-9,female,2001,Lugo,population,492
another county in the same province,5-9,female,2001,Ourense,population,699
another county in the same province,5-9,female,2001,Pontevedra,population,2104
another county in the same province,5-9,female,2011,total,population,7689
another county in the same province,5-9,female,2011,A Coruña,population,4204
another county in the same province,5-9,female,2011,Lugo,population,381
another county in the same province,5-9,female,2011,Ourense,population,722
another county in the same province,5-9,female,2011,Pontevedra,population,2381
another county in the same province,10-14,total,2001,total,population,17068
another county in the same province,10-14,total,2001,A Coruña,population,8682
another county in the same province,10-14,total,2001,Lugo,population,1408
another county in the same province,10-14,total,2001,Ourense,population,2023
another county in the same province,10-14,total,2001,Pontevedra,population,4955
another county in the same province,10-14,total,2011,total,population,16727
another county in the same province,10-14,total,2011,A Coruña,population,8738
another county in the same province,10-14,total,2011,Lugo,population,1076
another county in the same province,10-14,total,2011,Ourense,population,1606
another county in the same province,10-14,total,2011,Pontevedra,population,5306
another county in the same province,10-14,male,2001,total,population,8715
another county in the same province,10-14,male,2001,A Coruña,population,4447
another county in the same province,10-14,male,2001,Lugo,population,710
another county in the same province,10-14,male,2001,Ourense,population,1022
another county in the same province,10-14,male,2001,Pontevedra,population,2536
another county in the same province,10-14,male,2011,total,population,8608
another county in the same province,10-14,male,2011,A Coruña,population,4514
another county in the same province,10-14,male,2011,Lugo,population,527
another county in the same province,10-14,male,2011,Ourense,population,839
another county in the same province,10-14,male,2011,Pontevedra,population,2728
another county in the same province,10-14,female,2001,total,population,8353
another county in the same province,10-14,female,2001,A Coruña,population,4235
another county in the same province,10-14,female,2001,Lugo,population,698
another county in the same province,10-14,female,2001,Ourense,population,1001
another county in the same province,10-14,female,2001,Pontevedra,population,2419
another county in the same province,10-14,female,2011,total,population,8119
another county in the same province,10-14,female,2011,A Coruña,population,4224
another county in the same province,10-14,female,2011,Lugo,population,549
another county in the same province,10-14,female,2011,Ourense,population,768
another county in the same province,10-14,female,2011,Pontevedra,population,2578
another county in the same province,15-19,total,2001,total,population,21986
another county in the same province,15-19,total,2001,A Coruña,population,11040
another county in the same province,15-19,total,2001,Lugo,population,2036
another county in the same province,15-19,total,2001,Ourense,population,2614
another county in the same province,15-19,total,2001,Pontevedra,population,6296
another county in the same province,15-19,total,2011,total,population,18589
another county in the same province,15-19,total,2011,A Coruña,population,9410
another county in the same province,15-19,total,2011,Lugo,population,1321
another county in the same province,15-19,total,2011,Ourense,population,2013
another county in the same province,15-19,total,2011,Pontevedra,population,5845
another county in the same province,15-19,male,2001,total,population,11071
another county in the same province,15-19,male,2001,A Coruña,population,5509
another county in the same province,15-19,male,2001,Lugo,population,1018
another county in the same province,15-19,male,2001,Ourense,population,1338
another county in the same province,15-19,male,2001,Pontevedra,population,3206
another county in the same province,15-19,male,2011,total,population,9531
another county in the same province,15-19,male,2011,A Coruña,population,4801
another county in the same province,15-19,male,2011,Lugo,population,647
another county in the same province,15-19,male,2011,Ourense,population,1075
another county in the same province,15-19,male,2011,Pontevedra,population,3008
another county in the same province,15-19,female,2001,total,population,10915
another county in the same province,15-19,female,2001,A Coruña,population,5531
another county in the same province,15-19,female,2001,Lugo,population,1018
another county in the same province,15-19,female,2001,Ourense,population,1276
another county in the same province,15-19,female,2001,Pontevedra,population,3090
another county in the same province,15-19,female,2011,total,population,9058
another county in the same province,15-19,female,2011,A Coruña,population,4609
another county in the same province,15-19,female,2011,Lugo,population,673
another county in the same province,15-19,female,2011,Ourense,population,938
another county in the same province,15-19,female,2011,Pontevedra,population,2837
another county in the same province,20-24,total,2001,total,population,30039
another county in the same province,20-24,total,2001,A Coruña,population,15189
another county in the same province,20-24,total,2001,Lugo,population,2515
another county in the same province,20-24,total,2001,Ourense,population,3400
another county in the same province,20-24,total,2001,Pontevedra,population,8935
another county in the same province,20-24,total,2011,total,population,21648
another county in the same province,20-24,total,2011,A Coruña,population,10688
another county in the same province,20-24,total,2011,Lugo,population,1925
another county in the same province,20-24,total,2011,Ourense,population,2551
another county in the same province,20-24,total,2011,Pontevedra,population,6484
another county in the same province,20-24,male,2001,total,population,14721
another county in the same province,20-24,male,2001,A Coruña,population,7585
another county in the same province,20-24,male,2001,Lugo,population,1183
another county in the same province,20-24,male,2001,Ourense,population,1605
another county in the same province,20-24,male,2001,Pontevedra,population,4348
another county in the same province,20-24,male,2011,total,population,10842
another county in the same province,20-24,male,2011,A Coruña,population,5369
another county in the same province,20-24,male,2011,Lugo,population,908
another county in the same province,20-24,male,2011,Ourense,population,1296
another county in the same province,20-24,male,2011,Pontevedra,population,3270
another county in the same province,20-24,female,2001,total,population,15318
another county in the same province,20-24,female,2001,A Coruña,population,7604
another county in the same province,20-24,female,2001,Lugo,population,1332
another county in the same province,20-24,female,2001,Ourense,population,1795
another county in the same province,20-24,female,2001,Pontevedra,population,4587
another county in the same province,20-24,female,2011,total,population,10805
another county in the same province,20-24,female,2011,A Coruña,population,5319
another county in the same province,20-24,female,2011,Lugo,population,1016
another county in the same province,20-24,female,2011,Ourense,population,1255
another county in the same province,20-24,female,2011,Pontevedra,population,3214
another county in the same province,25-29,total,2001,total,population,36898
another county in the same province,25-29,total,2001,A Coruña,population,18906
another county in the same province,25-29,total,2001,Lugo,population,3212
another county in the same province,25-29,total,2001,Ourense,population,3837
another county in the same province,25-29,total,2001,Pontevedra,population,10943
another county in the same province,25-29,total,2011,total,population,31175
another county in the same province,25-29,total,2011,A Coruña,population,15323
another county in the same province,25-29,total,2011,Lugo,population,2912
another county in the same province,25-29,total,2011,Ourense,population,3444
another county in the same province,25-29,total,2011,Pontevedra,population,9497
another county in the same province,25-29,male,2001,total,population,17578
another county in the same province,25-29,male,2001,A Coruña,population,9076
another county in the same province,25-29,male,2001,Lugo,population,1387
another county in the same province,25-29,male,2001,Ourense,population,1777
another county in the same province,25-29,male,2001,Pontevedra,population,5338
another county in the same province,25-29,male,2011,total,population,15173
another county in the same province,25-29,male,2011,A Coruña,population,7458
another county in the same province,25-29,male,2011,Lugo,population,1383
another county in the same province,25-29,male,2011,Ourense,population,1707
another county in the same province,25-29,male,2011,Pontevedra,population,4625
another county in the same province,25-29,female,2001,total,population,19320
another county in the same province,25-29,female,2001,A Coruña,population,9830
another county in the same province,25-29,female,2001,Lugo,population,1825
another county in the same province,25-29,female,2001,Ourense,population,2060
another county in the same province,25-29,female,2001,Pontevedra,population,5605
another county in the same province,25-29,female,2011,total,population,16001
another county in the same province,25-29,female,2011,A Coruña,population,7864
another county in the same province,25-29,female,2011,Lugo,population,1529
another county in the same province,25-29,female,2011,Ourense,population,1737
another county in the same province,25-29,female,2011,Pontevedra,population,4872
another county in the same province,30-34,total,2001,total,population,46198
another county in the same province,30-34,total,2001,A Coruña,population,22738
another county in the same province,30-34,total,2001,Lugo,population,4852
another county in the same province,30-34,total,2001,Ourense,population,4956
another county in the same province,30-34,total,2001,Pontevedra,population,13652
another county in the same province,30-34,total,2011,total,population,48950
another county in the same province,30-34,total,2011,A Coruña,population,24544
another county in the same province,30-34,total,2011,Lugo,population,4221
another county in the same province,30-34,total,2011,Ourense,population,4692
another county in the same province,30-34,total,2011,Pontevedra,population,15493
another county in the same province,30-34,male,2001,total,population,21863
another county in the same province,30-34,male,2001,A Coruña,population,10782
another county in the same province,30-34,male,2001,Lugo,population,2034
another county in the same province,30-34,male,2001,Ourense,population,2246
another county in the same province,30-34,male,2001,Pontevedra,population,6801
another county in the same province,30-34,male,2011,total,population,24052
another county in the same province,30-34,male,2011,A Coruña,population,12210
another county in the same province,30-34,male,2011,Lugo,population,1901
another county in the same province,30-34,male,2011,Ourense,population,2275
another county in the same province,30-34,male,2011,Pontevedra,population,7666
another county in the same province,30-34,female,2001,total,population,24335
another county in the same province,30-34,female,2001,A Coruña,population,11956
another county in the same province,30-34,female,2001,Lugo,population,2818
another county in the same province,30-34,female,2001,Ourense,population,2710
another county in the same province,30-34,female,2001,Pontevedra,population,6851
another county in the same province,30-34,female,2011,total,population,24898
another county in the same province,30-34,female,2011,A Coruña,population,12334
another county in the same province,30-34,female,2011,Lugo,population,2321
another county in the same province,30-34,female,2011,Ourense,population,2417
another county in the same province,30-34,female,2011,Pontevedra,population,7827
another county in the same province,35-39,total,2001,total,population,50810
another county in the same province,35-39,total,2001,A Coruña,population,24775
another county in the same province,35-39,total,2001,Lugo,population,6322
another county in the same province,35-39,total,2001,Ourense,population,5995
another county in the same province,35-39,total,2001,Pontevedra,population,13718
another county in the same province,35-39,total,2011,total,population,55988
another county in the same province,35-39,total,2011,A Coruña,population,28581
another county in the same province,35-39,total,2011,Lugo,population,4750
another county in the same province,35-39,total,2011,Ourense,population,5220
another county in the same province,35-39,total,2011,Pontevedra,population,17438
another county in the same province,35-39,male,2001,total,population,24582
another county in the same province,35-39,male,2001,A Coruña,population,11943
another county in the same province,35-39,male,2001,Lugo,population,2782
another county in the same province,35-39,male,2001,Ourense,population,2814
another county in the same province,35-39,male,2001,Pontevedra,population,7043
another county in the same province,35-39,male,2011,total,population,27776
another county in the same province,35-39,male,2011,A Coruña,population,14245
another county in the same province,35-39,male,2011,Lugo,population,2141
another county in the same province,35-39,male,2011,Ourense,population,2497
another county in the same province,35-39,male,2011,Pontevedra,population,8893
another county in the same province,35-39,female,2001,total,population,26228
another county in the same province,35-39,female,2001,A Coruña,population,12832
another county in the same province,35-39,female,2001,Lugo,population,3540
another county in the same province,35-39,female,2001,Ourense,population,3181
another county in the same province,35-39,female,2001,Pontevedra,population,6675
another county in the same province,35-39,female,2011,total,population,28212
another county in the same province,35-39,female,2011,A Coruña,population,14335
another county in the same province,35-39,female,2011,Lugo,population,2609
another county in the same province,35-39,female,2011,Ourense,population,2723
another county in the same province,35-39,female,2011,Pontevedra,population,8545
another county in the same province,40-44,total,2001,total,population,54158
another county in the same province,40-44,total,2001,A Coruña,population,26041
another county in the same province,40-44,total,2001,Lugo,population,7086
another county in the same province,40-44,total,2001,Ourense,population,6918
another county in the same province,40-44,total,2001,Pontevedra,population,14113
another county in the same province,40-44,total,2011,total,population,56730
another county in the same province,40-44,total,2011,A Coruña,population,27944
another county in the same province,40-44,total,2011,Lugo,population,5792
another county in the same province,40-44,total,2011,Ourense,population,5904
another county in the same province,40-44,total,2011,Pontevedra,population,17090
another county in the same province,40-44,male,2001,total,population,25949
another county in the same province,40-44,male,2001,A Coruña,population,12311
another county in the same province,40-44,male,2001,Lugo,population,3280
another county in the same province,40-44,male,2001,Ourense,population,3268
another county in the same province,40-44,male,2001,Pontevedra,population,7090
another county in the same province,40-44,male,2011,total,population,27840
another county in the same province,40-44,male,2011,A Coruña,population,13635
another county in the same province,40-44,male,2011,Lugo,population,2558
another county in the same province,40-44,male,2011,Ourense,population,2762
another county in the same province,40-44,male,2011,Pontevedra,population,8885
another county in the same province,40-44,female,2001,total,population,28209
another county in the same province,40-44,female,2001,A Coruña,population,13730
another county in the same province,40-44,female,2001,Lugo,population,3806
another county in the same province,40-44,female,2001,Ourense,population,3650
another county in the same province,40-44,female,2001,Pontevedra,population,7023
another county in the same province,40-44,female,2011,total,population,28890
another county in the same province,40-44,female,2011,A Coruña,population,14309
another county in the same province,40-44,female,2011,Lugo,population,3234
another county in the same province,40-44,female,2011,Ourense,population,3142
another county in the same province,40-44,female,2011,Pontevedra,population,8206
another county in the same province,45-49,total,2001,total,population,49792
another county in the same province,45-49,total,2001,A Coruña,population,24288
another county in the same province,45-49,total,2001,Lugo,population,6490
another county in the same province,45-49,total,2001,Ourense,population,6227
another county in the same province,45-49,total,2001,Pontevedra,population,12787
another county in the same province,45-49,total,2011,total,population,55621
another county in the same province,45-49,total,2011,A Coruña,population,27121
another county in the same province,45-49,total,2011,Lugo,population,6807
another county in the same province,45-49,total,2011,Ourense,population,6395
another county in the same province,45-49,total,2011,Pontevedra,population,15297
another county in the same province,45-49,male,2001,total,population,24217
another county in the same province,45-49,male,2001,A Coruña,population,11587
another county in the same province,45-49,male,2001,Lugo,population,3145
another county in the same province,45-49,male,2001,Ourense,population,3059
another county in the same province,45-49,male,2001,Pontevedra,population,6426
another county in the same province,45-49,male,2011,total,population,27337
another county in the same province,45-49,male,2011,A Coruña,population,13262
another county in the same province,45-49,male,2011,Lugo,population,3041
another county in the same province,45-49,male,2011,Ourense,population,3058
another county in the same province,45-49,male,2011,Pontevedra,population,7976
another county in the same province,45-49,female,2001,total,population,25575
another county in the same province,45-49,female,2001,A Coruña,population,12701
another county in the same province,45-49,female,2001,Lugo,population,3345
another county in the same province,45-49,female,2001,Ourense,population,3168
another county in the same province,45-49,female,2001,Pontevedra,population,6361
another county in the same province,45-49,female,2011,total,population,28285
another county in the same province,45-49,female,2011,A Coruña,population,13860
another county in the same province,45-49,female,2011,Lugo,population,3766
another county in the same province,45-49,female,2011,Ourense,population,3337
another county in the same province,45-49,female,2011,Pontevedra,population,7322
another county in the same province,50-54,total,2001,total,population,46709
another county in the same province,50-54,total,2001,A Coruña,population,23097
another county in the same province,50-54,total,2001,Lugo,population,5681
another county in the same province,50-54,total,2001,Ourense,population,6242
another county in the same province,50-54,total,2001,Pontevedra,population,11689
another county in the same province,50-54,total,2011,total,population,56388
another county in the same province,50-54,total,2011,A Coruña,population,27116
another county in the same province,50-54,total,2011,Lugo,population,7242
another county in the same province,50-54,total,2011,Ourense,population,7224
another county in the same province,50-54,total,2011,Pontevedra,population,14805
another county in the same province,50-54,male,2001,total,population,22635
another county in the same province,50-54,male,2001,A Coruña,population,10941
another county in the same province,50-54,male,2001,Lugo,population,2716
another county in the same province,50-54,male,2001,Ourense,population,3013
another county in the same province,50-54,male,2001,Pontevedra,population,5965
another county in the same province,50-54,male,2011,total,population,27226
another county in the same province,50-54,male,2011,A Coruña,population,12895
another county in the same province,50-54,male,2011,Lugo,population,3367
another county in the same province,50-54,male,2011,Ourense,population,3485
another county in the same province,50-54,male,2011,Pontevedra,population,7479
another county in the same province,50-54,female,2001,total,population,24074
another county in the same province,50-54,female,2001,A Coruña,population,12156
another county in the same province,50-54,female,2001,Lugo,population,2965
another county in the same province,50-54,female,2001,Ourense,population,3229
another county in the same province,50-54,female,2001,Pontevedra,population,5724
another county in the same province,50-54,female,2011,total,population,29162
another county in the same province,50-54,female,2011,A Coruña,population,14221
another county in the same province,50-54,female,2011,Lugo,population,3875
another county in the same province,50-54,female,2011,Ourense,population,3739
another county in the same province,50-54,female,2011,Pontevedra,population,7326
another county in the same province,55-59,total,2001,total,population,44418
another county in the same province,55-59,total,2001,A Coruña,population,22025
another county in the same province,55-59,total,2001,Lugo,population,5529
another county in the same province,55-59,total,2001,Ourense,population,6398
another county in the same province,55-59,total,2001,Pontevedra,population,10466
another county in the same province,55-59,total,2011,total,population,50526
another county in the same province,55-59,total,2011,A Coruña,population,24560
another county in the same province,55-59,total,2011,Lugo,population,6562
another county in the same province,55-59,total,2011,Ourense,population,6357
another county in the same province,55-59,total,2011,Pontevedra,population,13046
another county in the same province,55-59,male,2001,total,population,21535
another county in the same province,55-59,male,2001,A Coruña,population,10531
another county in the same province,55-59,male,2001,Lugo,population,2571
another county in the same province,55-59,male,2001,Ourense,population,3133
another county in the same province,55-59,male,2001,Pontevedra,population,5300
another county in the same province,55-59,male,2011,total,population,24573
another county in the same province,55-59,male,2011,A Coruña,population,11662
another county in the same province,55-59,male,2011,Lugo,population,3195
another county in the same province,55-59,male,2011,Ourense,population,3124
another county in the same province,55-59,male,2011,Pontevedra,population,6592
another county in the same province,55-59,female,2001,total,population,22883
another county in the same province,55-59,female,2001,A Coruña,population,11494
another county in the same province,55-59,female,2001,Lugo,population,2958
another county in the same province,55-59,female,2001,Ourense,population,3265
another county in the same province,55-59,female,2001,Pontevedra,population,5166
another county in the same province,55-59,female,2011,total,population,25953
another county in the same province,55-59,female,2011,A Coruña,population,12898
another county in the same province,55-59,female,2011,Lugo,population,3367
another county in the same province,55-59,female,2011,Ourense,population,3233
another county in the same province,55-59,female,2011,Pontevedra,population,6454
another county in the same province,60-64,total,2001,total,population,35681
another county in the same province,60-64,total,2001,A Coruña,population,17689
another county in the same province,60-64,total,2001,Lugo,population,4960
another county in the same province,60-64,total,2001,Ourense,population,5422
another county in the same province,60-64,total,2001,Pontevedra,population,7610
another county in the same province,60-64,total,2011,total,population,47077
another county in the same province,60-64,total,2011,A Coruña,population,23093
another county in the same province,60-64,total,2011,Lugo,population,5663
another county in the same province,60-64,total,2011,Ourense,population,6483
another county in the same province,60-64,total,2011,Pontevedra,population,11838
another county in the same province,60-64,male,2001,total,population,17116
another county in the same province,60-64,male,2001,A Coruña,population,8473
another county in the same province,60-64,male,2001,Lugo,population,2206
another county in the same province,60-64,male,2001,Ourense,population,2582
another county in the same province,60-64,male,2001,Pontevedra,population,3855
another county in the same province,60-64,male,2011,total,population,22563
another county in the same province,60-64,male,2011,A Coruña,population,10774
another county in the same province,60-64,male,2011,Lugo,population,2684
another county in the same province,60-64,male,2011,Ourense,population,3104
another county in the same province,60-64,male,2011,Pontevedra,population,6001
another county in the same province,60-64,female,2001,total,population,18565
another county in the same province,60-64,female,2001,A Coruña,population,9216
another county in the same province,60-64,female,2001,Lugo,population,2754
another county in the same province,60-64,female,2001,Ourense,population,2840
another county in the same province,60-64,female,2001,Pontevedra,population,3755
another county in the same province,60-64,female,2011,total,population,24514
another county in the same province,60-64,female,2011,A Coruña,population,12319
another county in the same province,60-64,female,2011,Lugo,population,2979
another county in the same province,60-64,female,2011,Ourense,population,3379
another county in the same province,60-64,female,2011,Pontevedra,population,5837
another county in the same province,65-69,total,2001,total,population,41885
another county in the same province,65-69,total,2001,A Coruña,population,20090
another county in the same province,65-69,total,2001,Lugo,population,6337
another county in the same province,65-69,total,2001,Ourense,population,6775
another county in the same province,65-69,total,2001,Pontevedra,population,8683
another county in the same province,65-69,total,2011,total,population,44252
another county in the same province,65-69,total,2011,A Coruña,population,21642
another county in the same province,65-69,total,2011,Lugo,population,5598
another county in the same province,65-69,total,2011,Ourense,population,6729
another county in the same province,65-69,total,2011,Pontevedra,population,10284
another county in the same province,65-69,male,2001,total,population,19429
another county in the same province,65-69,male,2001,A Coruña,population,9237
